timestamp_ms,aX,aY,aZ,gX,gY,gZ,label
1065341,-6.215,1.702,8.296,-0.281,-0.055,-0.127,zone2
1065546,-4.863,0.788,7.853,-0.095,0.033,-0.382,zone2
1065741,-4.702,0.69,8.009,0.031,-0.158,0.017,zone2
1065936,-4.63,1.259,9.225,0.063,-0.462,-0.078,zone2
1066140,-3.613,3.038,8.509,-0.253,0.005,0.083,zone2
1066341,-3.287,2.804,8.059,-0.081,0.233,0.294,zone2
1066531,-5.16,3.934,8.049,-0.105,0.13,-0.425,zone2
1066719,-5.899,0.754,7.743,0.075,-0.042,-0.795,zone2
1066922,-6.053,0.51,7.97,0.179,0.084,-0.797,zone2
1067126,-6.153,0.558,7.831,0.359,-0.332,-0.918,zone2
1067372,-5.341,0.244,8.258,0.46,-0.323,-1.3,zone2
1067581,-4.173,0.539,8.219,0.915,-0.266,-1.467,zone2
1067781,-3.421,1.767,9.553,0.572,-0.174,-0.956,zone2
1067972,-2.373,2.313,9.141,0.23,-0.291,-0.106,zone2
1068168,-2.626,1.523,9.33,-0.451,0.211,0.706,zone2
1068361,-2.433,2.751,9.39,-0.78,0.581,2.155,zone2
1068560,-2.598,2.758,9.412,-0.731,0.767,1.535,zone2
1068767,-4.798,3.096,9.036,-0.53,0.302,0.233,zone2
1068972,-6.103,1.547,7.649,-0.238,0.193,0.063,zone2
1069166,-4.942,0.773,7.877,-0.079,-0.095,0.172,zone2
1069374,-4.147,1.367,8.643,-0.164,-0.341,0.388,zone2
1069564,-4.245,4.355,9.558,-0.173,0.132,0.402,zone2
1069762,-3.304,2.974,7.697,-0.221,0.35,0.337,zone2
1069961,-4.216,3.299,8.521,-0.428,0.322,0.13,zone2
1070270,-6.081,1.788,7.396,0.312,0.029,-0.425,zone2
1070601,-2.152,1.228,4.257,-1.24,-0.135,0.922,zone2
1070843,-3.874,3.84,10.824,-0.94,0.309,0.801,zone2
1071036,0.266,-1.123,0.797,-0.986,0.27,-0.602,zone2
1071231,-5.488,0.857,11.298,-0.074,-0.521,-0.997,zone2
1071540,-7.245,8.554,19.625,0.23,0.371,1.314,zone2
1071730,-1.123,1.36,1.956,-2.203,-0.046,0.221,zone2
1071915,-10.965,4.544,15.416,0.894,-0.118,-0.827,zone2
1072112,0.953,-1.25,2.097,-0.006,-0.024,-0.006,zone2
1072312,-7.082,9.357,19.805,-0.026,0.895,1.431,zone2
1072506,0.414,-1.041,0.091,-1.343,0.091,1.234,zone2
1072701,-9.428,3.802,16.441,-0.104,-0.374,-1.324,zone2
1072891,2.064,-0.129,-0.438,0.054,0.014,0.24,zone2
1073076,-6.483,8.073,20.514,-0.797,-0.073,1.056,zone2
1073271,0.014,-0.924,-0.673,-0.222,0.496,-0.178,zone2
1073460,-4.602,3.141,12.854,0.132,-0.277,-0.84,zone2
1073656,1.47,0.376,-0.891,0.219,0.23,0.319,zone2
1073841,-4.106,5.1,11.327,-1.756,0.223,1.781,zone2
1074041,-4.013,0.254,7.01,2.284,0.678,-0.958,zone2
1074240,-0.833,0.218,7.07,0.297,-0.155,-0.735,zone2
1074444,-7.901,11.559,18.174,-0.554,-1.656,-0.155,zone2
1074636,-2.931,0.498,2.143,-2.628,-0.059,0.806,zone2
1074834,-16.168,3.917,15.112,3.388,0.249,-1.259,zone2
1075031,1.07,-1.374,0.783,0.314,0.001,-0.752,zone2
1075226,-5.851,8.49,19.058,0.083,0.951,1.409,zone2
1075419,-0.958,0.57,-0.893,-0.704,-0.26,1.101,zone2
1075616,-8.76,6.318,17.159,0.186,-0.105,-1.494,zone2
1075810,1.662,-0.673,-1.202,-0.377,-0.218,0.171,zone2
1075996,-6.706,7.513,17.928,-0.516,-0.212,1.246,zone2
1076305,-14.703,5.363,18.622,1.047,-0.036,-0.817,zone2
1076508,0.299,-0.187,1.223,0.153,-0.191,-0.451,zone2
1076701,-8.42,7.855,20.468,-0.041,0.218,0.733,zone2
1076895,-0.144,-1.034,0.081,0.281,0.439,0.257,zone2
1077097,-6.744,1.398,15.639,0.165,-0.163,-2.472,zone2
1077320,0.991,-0.414,2.265,1.411,0.226,-0.255,zone2
1077506,-3.857,5.969,14.688,-1.575,0.119,1.086,zone2
1077706,-3.462,-0.749,2.377,-0.118,1.091,1.405,zone2
1077905,-3.108,-3.098,4.391,0.889,0.087,1.379,zone2
1078090,-4.836,5.715,10.702,0.145,-0.878,1.153,zone2
1078469,-7.963,6.05,18.407,0.493,0.438,-1.521,zone2
1078706,0.745,-0.68,1.458,-0.162,-0.163,-0.891,zone2
1078903,-6.012,8.921,20.494,0.218,0.562,1.382,zone2
1079098,0.915,-1.48,-0.031,0.3,0.164,0.367,zone2
1079301,-5.918,3.328,15.895,0.51,-0.568,-1.613,zone2
1079501,0.85,0.831,-0.225,0.272,0.058,0.554,zone2
1079696,-4.978,3.577,9.902,-1.915,0.272,1.547,zone2
1079896,-7.791,-0.445,13.616,1.68,0.58,-1.123,zone2
1080091,-1.997,0.134,7.585,1.073,-0.225,-0.727,zone2
1080292,-10.206,9.606,12.292,6.796,-1.138,-1.256,zone2
1080485,0.275,4.319,1.681,-8.731,-2.419,1.385,zone2
1080680,-14.775,3.867,15.672,0.053,-0.262,-1.695,zone2
1080876,0.697,-0.907,0.397,0.262,-0.068,0.043,zone2
1081078,-0.869,11.691,23.789,0.259,0.739,1.676,zone2
1081278,-1.719,-1.463,-1.305,-0.058,0.864,0.15,zone2
1081476,0.431,-0.136,8.408,-0.067,-0.613,-0.963,zone2
1081665,0.46,1.276,0.934,0.505,0.613,0.64,zone2
1081856,-3.814,3.563,8.665,-2.063,0.209,0.699,zone2
1082051,-11.873,-5.954,16.817,3.766,0.541,-3.262,zone2
1082245,-1.834,-0.39,6.771,0.829,-0.057,-1.248,zone2
1082446,-5.854,7.487,11.643,1.587,-1.723,0.52,zone2
1082642,-1.686,1.664,2.928,-2.261,0.171,1.189,zone2
1082841,-12.354,4.585,18.936,0.701,0.443,-0.607,zone2
1083041,1.506,1.216,0.804,0.046,0.035,0.36,zone2
1083235,-5.114,3.883,17.195,-1.61,0.018,1.693,zone2
1083437,-1.958,-0.57,-0.776,-0.196,1.007,0.496,zone2
1083631,-4.594,-2.057,7.781,0.393,0.018,-0.628,zone2
1083831,-5.092,0.484,13.738,0.28,-0.832,-0.834,zone2
1084025,-1.851,1.36,4.911,-1.864,-0.151,0.815,zone2
1084226,-17.169,4.02,13.041,1.086,0.149,-0.472,zone2
1084425,1.228,-0.321,1.185,0.675,-0.19,-0.587,zone2
1084620,-6.613,11.135,22.182,-0.479,0.704,1.57,zone2
1084820,-0.589,-1.846,-1.07,-0.652,0.294,1.275,zone2
1085020,-5.602,2.368,13.41,0.197,-0.953,-1.741,zone2
1085216,0.974,0.622,-0.685,0.759,0.072,-0.2,zone2
1085416,-4.396,3.428,7.072,-3.398,-0.141,1.792,zone2
1085614,-7.733,-2.579,13.908,1.07,-0.016,-1.32,zone2
1085807,-0.323,-0.479,6.986,0.735,-0.059,-0.737,zone2
1086007,-7.408,9.182,15.004,-0.223,-1.213,-0.307,zone2
1086199,0.694,0.912,0.627,-1.962,0.304,1.21,zone2
1086395,-10.206,5.65,16.249,0.612,0.761,-0.459,zone2
1086598,0.328,-0.673,2.061,0.622,-0.349,0.013,zone2
1086815,-6.443,8.356,18.692,-0.622,0.44,1.209,zone2
1087017,-0.747,-0.656,-0.721,0.18,0.539,0.525,zone2
1087210,-6.419,4.518,15.83,0.207,-0.589,-1.634,zone2
1087415,2.289,-0.555,-0.431,0.226,-0.065,0.172,zone2
1087724,-0.077,-0.409,1.336,-0.705,0.336,1.272,zone2
1087930,-10.448,8.684,15.818,-0.29,-0.497,-1.457,zone2
1088127,1.211,0.548,0.979,-0.132,-0.532,-0.153,zone2
1088321,-5.679,7.994,15.617,-1.67,0.403,1.394,zone2
1088520,-2.571,-1.135,-0.005,0.371,-0.031,0.331,zone2
1088715,-2.217,2.133,9.237,0.307,-0.4,-1.169,zone2
1088910,0.709,0.297,2.619,0.738,0.329,-0.401,zone2
1089105,-2.478,2.722,5.847,-1.826,0.59,1.454,zone2
1089310,-9.826,7.312,16.455,1.646,-1.424,-0.383,zone2
1089510,-0.773,0.35,4.168,0.673,-0.068,-0.689,zone2
1089713,-6.239,10.161,19.012,-1.101,-0.215,0.667,zone2
1089905,-1.633,1.161,0.402,-1.617,0.419,0.816,zone2
1090097,-9.685,3.524,18.033,0.947,0.064,-1.312,zone2
1090293,0.407,-0.472,1.13,0.601,-0.172,-0.488,zone2
1090486,-3.582,7.63,20.547,-0.34,0.717,1.697,zone2
1090681,-0.745,-0.139,0.656,0.288,0.432,1.111,zone2
1090875,-7.903,4.992,14.044,-0.342,-0.463,-1.742,zone2
1091060,0.97,0.038,0.828,-0.157,-0.203,0.266,zone2
1091261,-3.917,6.385,16.989,-1.007,0.232,1.488,zone2
1091456,-0.481,-1.369,-1.923,-0.185,0.367,-0.1,zone2
1091655,-1.882,0.63,8.823,0.034,-0.514,-0.978,zone2
1091849,1.599,-0.115,1.537,0.408,0.232,0.396,zone2
1092035,-2.777,3.373,7.635,-1.695,0.309,1.514,zone2
1092219,-3.95,-2.169,5.112,1.026,0.541,-0.654,zone2
1092419,-0.168,0.692,7.123,0.652,-0.231,-0.852,zone2
1092604,-5.708,6.383,15.064,1.104,0.157,0.668,zone2
1092809,0.206,0.012,4.638,-1.775,0.123,0.741,zone2
1092994,-13.664,6.981,12.064,-0.23,0.425,0.337,zone2
1093189,0.663,-0.68,2.538,0.874,-0.038,-0.734,zone2
1093559,0.259,-0.206,1.324,-0.492,0.519,0.73,zone2
1093797,-7.424,1.547,14.614,0.992,-0.165,-1.74,zone2
1093990,-1.331,1.884,0.136,0.494,0.019,0.083,zone2
1094190,-4.372,2.126,8.274,-2.28,0.415,1.048,zone2
1094389,-5.758,-1.647,6.764,0.084,1.29,-0.496,zone2
1094574,-3.912,0.065,10.025,2.836,-0.141,-1.366,zone2
1094769,-1.633,-0.687,7.602,0.872,-0.395,0.437,zone2
1094964,-1.199,0.9,6.943,-1.11,-0.099,0.624,zone2
1095160,-8.109,-4.015,11.195,0.745,1.214,-0.432,zone2
1095354,-2.674,2.184,5.95,0.758,-0.006,-0.872,zone2
1095545,-6.721,6.474,19.688,2.089,-0.897,-0.657,zone2
1095744,-1.458,0.936,4.173,-2.386,0.068,0.622,zone2
1095945,-14.851,4.228,15.598,-0.326,0.2,0.153,zone2
1096130,-0.012,-0.927,2.435,0.831,-0.117,-0.4,zone2
1096327,-5.789,7.709,20.576,1.029,-0.116,0.541,zone2
1096529,-0.352,-1.844,0.304,1.138,0.549,2.188,zone2
1096723,-9.328,7.738,19.853,-0.005,-0.402,-1.473,zone2
1096920,1.188,0.625,0.304,-0.153,0.088,-0.351,zone2
1097114,-1.674,6.311,14.313,-1.222,-0.184,0.992,zone2
1097315,-3.002,0.601,1.197,-0.537,0.633,0.134,zone2
1097517,-2.66,2.729,8.159,0.832,-0.579,-2.683,zone2
1097714,-3.871,1.628,13.446,1.136,-0.694,-0.801,zone2
1097965,-1.863,1.587,0.874,-4.776,0.071,2.437,zone2
1098154,-8.744,5.636,16.168,-0.2,0.758,1.868,zone2
1098360,-0.491,-0.826,2.825,-0.704,0.033,0.294,zone2
1098624,-3.206,4.714,10.566,-2.105,0.326,1.582,zone2
1098827,-9.081,-3.072,12.694,2.191,0.792,-1.028,zone2
1099027,-1.106,0.371,5.993,-0.326,-0.313,-0.341,zone2
1099241,-5.243,8.753,16.903,2.668,0.314,0.359,zone2
1099432,-1.899,0.816,2.179,-1.489,0.576,1.356,zone2
1099629,-8.672,6.57,15.395,-0.169,-0.641,-1.583,zone2
1099830,0.23,0.766,0.275,0.289,-0.33,-0.204,zone2
1100028,-3.031,5.849,15.376,-2.195,0.415,1.485,zone2
1100221,-3.182,0.488,-0.673,-0.562,0.526,0.099,zone2
1100422,-0.345,0.364,6.45,-0.183,-0.381,-0.618,zone2
1100614,-7.377,8.964,16.506,1.814,-1.05,-0.84,zone2
1100816,-1.015,2.521,3.768,-1.683,0.346,0.945,zone2
1101020,-14.344,7.69,21.215,1.933,1.205,0.074,zone2
1101256,1.781,0.201,0.555,0.095,-0.343,-0.37,zone2
1101455,-2.835,5.684,15.191,-1.594,0.047,1.488,zone2
1101654,-3.982,-0.838,2.88,1.511,0.864,-0.264,zone2
1101852,-0.417,0.608,7.317,0.325,-0.427,-1.165,zone2
1102044,-6.785,11.507,19.245,1.943,-1.507,-0.934,zone2
1102249,0.266,1.207,0.503,-2.925,-0.257,1.088,zone2
1102444,-6.144,3.725,14.973,1.1,0.378,-0.764,zone2
1102639,1.149,-2.461,-0.706,-0.467,-0.245,-0.16,zone2
1102846,-5.904,6.529,19.92,-1.244,0.123,1.305,zone2
1103053,-1.451,0.127,-0.002,-0.484,0.26,0.866,zone2
1103255,-3.725,0.419,10.18,0.327,-0.422,-1.249,zone2
1103456,0.129,0.67,1.286,2.121,1.082,0.381,zone2
1103654,-3.259,2.576,7.46,-1.7,0.183,1.159,zone2
1103844,-16.546,2.634,19.989,5.347,1.137,-1.356,zone2
1104044,-0.555,-0.869,5.339,-0.378,-0.496,-0.907,zone2
1104240,-4.836,9.708,13.925,3.464,0.274,0.167,zone2
1104431,-0.627,0.893,2.083,-2.431,-0.049,1.319,zone2
1104631,-16.781,7.4,18.263,0.881,0.3,-1.111,zone2
1104834,1.456,-0.259,1.568,0.002,-0.226,-0.558,zone2
1105031,-7.626,9.5,19.175,-0.588,-0.031,1.422,zone2
1105237,0.239,-2.145,-0.639,0.017,0.31,0.572,zone2
1105429,-7.479,5.047,13.843,0.196,-0.87,-1.9,zone2
1105624,3.019,0.141,-0.721,0.491,0.087,0.26,zone2
1105824,-3.148,4.008,9.962,-1.524,0.542,1.422,zone2
1106009,-3.012,0.637,1.195,0.204,0.364,0.155,zone2
1106209,-1.25,1.891,6.74,0.512,-0.284,-1.355,zone2
1106404,-5.514,3.651,15.33,1.495,0.131,0.455,zone2
1106605,-2.531,3.261,4.76,-1.501,0.406,0.763,zone2
1106804,-12.874,7.178,11.183,-0.006,0.352,-0.363,zone2
1106991,0.702,0.168,3.78,-0.067,-0.182,-0.513,zone2
1107190,-6.088,7.764,18.605,0.645,0.125,0.727,zone2
1107389,-0.448,0.206,0.515,-1.43,0.646,1.512,zone2
1107590,-10.412,9.397,15.675,0.27,-0.234,-1.297,zone2
1107784,-0.168,0.385,2.6,-0.124,-0.891,-0.386,zone2
1107989,-4.197,9.203,16.8,-0.648,0.482,0.978,zone2
1108191,-2.617,0.536,0.283,-0.031,0.566,0.537,zone2
1108384,-3.29,4.022,10.815,-0.184,-0.564,-1.644,zone2
1108586,0.991,1.518,3.223,0.894,0.361,0.398,zone2
1108790,-1.647,2.959,5.768,-2.195,0.456,1.157,zone2
1109180,-1.314,1.405,5.971,-0.011,-0.14,-0.805,zone2
1109416,-4.585,10.776,19.3,0.413,0.453,1.046,zone2
1109608,-0.481,0.177,0.524,-1.417,0.407,0.763,zone2
1109803,-7.173,6.582,17.497,1.24,-0.28,-1.501,zone2
1109998,1.118,-1.396,1.513,-1.543,-0.119,-0.7,zone2
1110184,-5.717,6.606,17.581,-0.833,0.077,1.281,zone2
1110383,-2.334,1.279,-0.096,0.195,0.631,1.723,zone2
1110584,-4.077,2.883,11.54,0.452,-0.411,-1.378,zone2
1110784,0.464,0.939,0.151,0.003,-0.072,-0.208,zone2
1110981,-2.94,3.445,8.899,-1.491,1.057,1.751,zone2
1111173,-5.464,-0.673,4.805,1.657,0.132,-0.683,zone2
1111369,-1.152,0.939,6.309,-0.618,-0.513,-0.93,zone2
1111566,-5.713,4.29,12.323,2.968,-0.163,-0.289,zone2
1111764,-2.035,3.57,6.263,-1.163,0.734,0.855,zone2
1111964,-6.974,8.258,11.835,-1.624,-1.415,-0.414,zone2
1112161,-1.949,2.157,6.974,0.264,-0.432,-0.985,zone2
1112361,-4.271,13.048,11.174,5.496,0.965,-2.497,zone2
1112554,-1.958,3.965,4.132,-1.138,0.919,1.254,zone2
1112748,-11.892,13.324,10.649,2.617,0.457,-2.161,zone2
1112933,-2.325,2.978,8.023,-2.001,-1.396,-0.98,zone2
1113125,-11.815,13.405,20.233,1.693,-1.616,0.423,zone2
1113324,-0.306,1.891,2.215,-2.857,0.298,1.164,zone2
1113518,-13.585,5.705,10.748,-0.678,-0.82,-1.077,zone2
1113714,-1.185,0.464,4.87,-1.285,0.457,-2.045,zone2
1113914,-6.433,4.635,17.866,-1.088,-1.409,1.325,zone2
1114146,-1.144,1.537,1.439,-1.399,0.051,1.019,zone2
1114347,-9.282,2.121,15.423,0.817,-0.482,-1.712,zone2
1114539,0.939,-0.517,1.068,0.13,-0.696,0.112,zone2
1114739,-3.079,2.533,16.956,-1.395,0.212,1.749,zone2
1115048,-9.098,2.217,16.333,0.89,0.702,-0.409,zone2
1115252,0.168,-1.614,2.392,0.205,-0.373,-0.628,zone2
1115453,-3.984,4.82,18.306,-0.16,0.279,1.603,zone2
1115652,-0.838,0.206,0.436,-0.179,0.12,0.739,zone2
1115849,-5.037,3.44,14.674,0.555,-0.264,-2.238,zone2
1116043,1.348,0.117,-0.146,0.002,0.009,0.033,zone2
1116234,-3.484,3.73,11.538,-1.945,0.315,1.861,zone2
1116433,-2.653,0.141,-0.417,-0.284,0.84,0.332,zone2
1116623,-1.53,0.139,7.604,1.178,-0.726,-1.36,zone2
1116817,1.228,-0.232,0.362,0.754,0.342,0.157,zone2
1117005,-2.727,3.864,10.621,-1.402,0.074,1.516,zone2
1117243,-8.957,5.169,15.471,-0.478,-0.028,-1.11,zone2
1117438,-1.537,1.061,5.456,0.392,-0.267,-1.095,zone2
1117624,-7.161,7.901,18.464,1.721,-0.527,-0.814,zone2
1117826,-1.975,1.896,4.602,-1.856,0.371,1.641,zone2
1118023,-8.576,8.023,27.021,-3.62,-0.737,-1.08,zone2
1118228,-1.039,-0.864,4.152,0.347,-0.289,-0.919,zone2
1118425,-4.46,9.725,16.568,0.491,-0.459,0.007,zone2
1118623,-1.02,2.737,3.675,-1.011,0.576,1.085,zone2
1118819,-12.299,5.974,13.977,1.058,0.275,-0.679,zone2
1119003,-0.278,-0.254,4.353,0.267,-0.575,-1.105,zone2
1119201,-5.83,8.844,16.214,0.533,-0.171,0.759,zone2
1119398,-0.73,0.828,1.683,-1.209,0.521,0.434,zone2
1119590,-12.634,2.488,19.319,0.383,0.375,-0.525,zone2
1119788,0.922,-1.865,0.991,0.119,-0.295,-0.898,zone2
1119990,-7.209,4.52,20.346,-0.149,0.062,1.115,zone2
1120181,-1.281,2.555,1.116,-2.329,0.102,0.863,zone2
1120380,-10.187,3.17,17.887,0.81,-0.022,-1.592,zone2
1120574,1.106,-0.019,1.319,-0.074,-0.337,-0.433,zone2
1120763,-7.86,5.397,19.122,-0.964,0.464,1.936,zone2
1120958,-0.871,0.369,0.704,-0.794,0.361,0.744,zone2
1121155,-6.196,0.668,13.8,1.177,0.141,-2.032,zone2
1121349,1.762,-0.077,-0.474,-0.277,-0.272,-0.039,zone2
1121547,-3.019,2.397,10.664,-1.298,0.33,1.423,zone2
1121743,-2.933,-0.409,-0.098,-0.031,0.319,0.093,zone2
1121938,-1.856,0.242,8.296,0.393,-0.164,-1.411,zone2
1122183,-8.648,7.695,18.603,-0.128,-1.832,-0.759,zone2
1122383,-2.428,0.795,6.67,-0.476,0.309,0.465,zone2
1122573,-11.983,5.035,12.21,0.69,0.339,-1.296,zone2
1122758,-1.269,0.005,4.465,-0.219,-0.188,-0.809,zone2
1122953,-8.475,7.458,16.51,1.45,-1.269,-0.063,zone2
1123153,-1.839,1.444,2.94,-2.306,0.062,0.961,zone2
1123351,-10.348,2.789,17.854,-0.699,-0.422,0.152,zone2
1123548,-1.018,-1.061,3.594,-0.137,-0.133,-0.296,zone2
1123753,-6.191,7.156,20.528,-0.594,0.44,1.782,zone2
1123954,-0.929,-0.409,-1.085,0.359,0.7,1.171,zone2
1124388,1.944,-0.249,0.498,0.33,-0.176,0.379,zone2
1124625,-1.099,2.263,5.157,-1.931,0.249,0.93,zone2
1124823,-8.09,0.189,11.293,-0.507,-0.757,-0.991,zone2
1125023,-0.582,0.321,5.626,0.648,-0.038,-1.057,zone2
1125223,-6.699,7.592,16.175,1.069,-0.86,0.042,zone2
1125416,-1.607,2.21,4.829,-0.908,0.39,0.803,zone2
1125611,-13.673,4.178,15.814,2.1,0.547,-0.783,zone2
1125811,-0.225,-0.247,3.831,0.217,-0.061,-0.57,zone2
1126006,-6.268,4.386,18.22,0.558,0.266,0.864,zone2
1126197,-0.989,1.07,3.771,-1.609,-0.162,1.091,zone2
1126398,-9.618,1.247,17.451,1.125,0.693,-0.576,zone2
1126595,-0.922,-0.436,2.543,0.458,-0.177,-0.443,zone2
1126786,-5.602,4.755,19.19,0.492,0.666,0.984,zone2
1126987,-1.032,-0.17,2.073,-1.599,-0.019,0.878,zone2
1127188,-8.516,4.192,17.751,0.636,0.383,-0.997,zone2
1127378,0.888,-0.8,2.289,-0.119,-0.087,-0.824,zone2
1127613,-4.389,3.412,12.467,-0.891,-0.007,1.346,zone2
1127808,-2.124,0.256,-1.077,0.037,0.619,0.272,zone2
1128013,-1.954,0.244,8.049,0.253,-0.258,-1.246,zone2
1128199,1.686,0.426,0.642,0.175,0.093,0.203,zone2
1128388,-3.402,4.005,11.138,-1.523,0.295,1.728,zone2
1128591,-5.277,-2.284,4.032,1.46,0.738,-0.338,zone2
1128783,-2.258,1.125,7.025,0.67,-0.099,-1.193,zone2
1128976,-4.247,2.952,10.953,0.93,0.197,0.015,zone2
1129168,-2.574,3.464,7.623,-1.008,0.509,1.503,zone2
1129363,-12.512,6.967,19.81,3.186,0.297,-2.354,zone2
1129554,-2.131,1.836,6.902,0.62,-0.099,-1.411,zone2
1129748,-4.307,7.242,14.219,1.033,-1.492,0.242,zone2
1129948,-1.144,1.58,5.648,-1.592,0.339,1.291,zone2
1130142,-13.57,5.186,9.742,-1.777,-0.74,-0.196,zone2
1130333,0.012,0.797,4.489,-0.094,-0.448,-1.462,zone2
1130526,-7.748,12.254,17.454,2.024,-0.149,0.74,zone2
1130733,-0.97,2.483,1.611,-1.15,0.394,0.92,zone2
1130931,-12.131,5.605,16.415,1.367,-0.117,-0.902,zone2
1131128,1.051,-1.075,1.542,-0.27,-0.356,-0.856,zone2
1131324,-6.922,5.887,17.578,0.194,0.446,1.507,zone2
1131526,-0.587,-0.4,0.977,0.613,0.545,1.19,zone2
1131723,-9.847,6.986,17.044,0.183,-0.268,-1.595,zone2
1131923,0.766,-0.244,1.681,-0.037,-0.531,-0.281,zone2
1132118,-5.049,7.796,17.842,-0.741,0.535,1.625,zone2
1132313,-0.943,-0.529,-1.19,-0.489,0.294,0.601,zone2
1132510,-6.208,5.136,12.716,0.095,-0.707,-1.651,zone2
1132702,1.286,0.34,1.393,-0.123,-0.234,-0.047,zone2
1132898,-4.439,7.288,15.28,-1.324,0.442,1.456,zone2
1133083,-1.82,0.024,0.438,0.026,0.109,0.618,zone2
1133282,-6.304,4.604,13.956,0.06,-0.721,-1.712,zone2
